"Town","FIPS","Year","Grade","Race","SubsidizedMealEligibility","LanguageTrack","Disability","MeasureType","Variable","Value"
"North Branford","0900953890",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.65
"North Haven","0900954870",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.71
"Norwalk","0900156060",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.45
"Norwich","0901156270",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",13.86
"Orange","0900957600",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",4
"Oxford","0900958300",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.73
"Plainfield","0901559980",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.14
"Plainville","0900360120",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.89
"Plymouth","0900560750",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.71
"Prospect","0900962290",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.04
"Putnam","0901562710",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.33
"Ridgefield","0900163970",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.26
"Rocky Hill","0900365370",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.91
"Seymour","0900967610",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.47
"Shelton","0900168170",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.76
"Simsbury","0900368940",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.48
"South Windsor","0900371390",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.49
"Southbury","0900969640",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.78
"Southington","0900370550",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.48
"Stafford","0901372090",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.05
"Stamford","0900173070",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.25
"Stonington","0901173770",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.85
"Stratford","0900174190",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.79
"Suffield","0900374540",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.24
"Thomaston","0900575730",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.6
"Thompson","0901575870",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.68
"Tolland","0901376290",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.71
"Torrington","0900576570",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.94
"Trumbull","0900177200",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.91
"Vernon","0901378250",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.87
"Wallingford","0900978740",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.09
"Waterbury","0900980070",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",13.87
"Waterford","0901180280",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.14
"Watertown","0900580490",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.88
"West Hartford","0900382590",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.75
"West Haven","0900982870",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",15.61
"Weston","0900183430",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.45
"Westport","0900183500",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",1.78
"Wethersfield","0900384900",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.44
"Wilton","0900186370",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.77
"Winchester","0900586440",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.44
"Windham","0901586790",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",16.26
"Windsor","0900387000",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.9
"Windsor Locks","0900387070",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.06
"Woodbridge","0900987700",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.41
"Woodbury","0900587910",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",6
"Woodstock","0901588190",2013,"K through 3",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.37
"Ansonia","0900901220",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.75
"Ashford","0901501430",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.32
"Avon","0900302060",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.18
"Beacon Falls","0900903250",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.96
"Berlin","0900304300",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.32
"Bethel","0900104720",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.93
"Bethlehem","0900504930",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.12
"Bloomfield","0900305910",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.9
"Branford","0900907310",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.85
"Bridgeport","0900108070",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",15.93
"Bridgewater","0900508210",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.25
"Bristol","0900308490",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.51
"Brookfield","0900108980",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.92
"Brooklyn","0901509190",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.19
"Burlington","0900310100",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.8
"Canton","0900312270",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.2
"Cheshire","0900914160",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.89
"Clinton","0900715350",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.03
"Colchester","0901115910",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.67
"Connecticut","09",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.89
"Coventry","0901317800",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.98
"Cromwell","0900718080",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.93
"Danbury","0900118500",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.81
"Darien","0900118850",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.51
"Derby","0900919550",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.96
"Durham","0900720810",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.04
"East Haddam","0900722280",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.78
"East Hampton","0900722490",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.17
"East Hartford","0900322630",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.22
"East Haven","0900922910",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.38
"East Lyme","0901123400",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.43
"East Windsor","0900324800",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.94
"Easton","0900123890",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.51
"Ellington","0901325360",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.78
"Enfield","0900325990",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.44
"Fairfield","0900126620",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.36
"Farmington","0900327600",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.87
"Glastonbury","0900331240",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.81
"Goshen","0900532290",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.67
"Granby","0900332640",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.45
"Greenwich","0900133620",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.8
"Griswold","0901133900",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.33
"Groton","0901134250",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.89
"Guilford","0900934950",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.68
"Haddam","0900735230",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.41
"Hamden","0900935650",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.99
"Hartford","0900337070",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",20.14
"Harwinton","0900537280",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.8
"Killingly","0901540500",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.75
"Killingworth","0900740710",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.41
"Lebanon","0901142390",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.93
"Ledyard","0901142600",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.99
"Litchfield","0900543370",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.09
"Lyme","0901144210",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.73
"Madison","0900944560",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.28
"Manchester","0900344700",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.63
"Mansfield","0901344910",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.16
"Meriden","0900946520",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.29
"Middlebury","0900946940",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.97
"Middlefield","0900747080",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.04
"Middletown","0900747360",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.08
"Milford","0900947535",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.95
"Monroe","0900148620",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.34
"Montville","0901148900",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.65
"Morris","0900549460",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.67
"Naugatuck","0900949950",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.88
"New Britain","0900350440",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",19.79
"New Canaan","0900150580",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.07
"New Fairfield","0900150860",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.52
"New Haven","0900952070",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.39
"New London","0901152350",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",23.13
"New Milford","0900552630",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.89
"Newington","0900352140",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.58
"Newtown","0900152980",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.27
"North Branford","0900953890",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.85
"North Canaan","0900554030",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",15.34
"North Haven","0900954870",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.29
"North Stonington","0901155500",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.62
"Norwalk","0900156060",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.28
"Norwich","0901156270",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.41
"Old Lyme","0901157040",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.73
"Old Saybrook","0900757320",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.49
"Orange","0900957600",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.51
"Oxford","0900958300",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.76
"Plainfield","0901559980",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.09
"Plainville","0900360120",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.24
"Plymouth","0900560750",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.55
"Portland","0900761800",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.38
"Prospect","0900962290",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.96
"Putnam","0901562710",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.98
"Redding","0900163480",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.02
"Ridgefield","0900163970",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.27
"Rocky Hill","0900365370",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.19
"Roxbury","0900565930",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.25
"Salem","0901166210",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.94
"Salisbury","0900566420",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.19
"Scotland","0901567400",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.92
"Seymour","0900967610",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.78
"Sharon","0900567960",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.52
"Shelton","0900168170",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.84
"Sherman","0900168310",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.69
"Simsbury","0900368940",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.31
"Somers","0901369220",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",17.38
"South Windsor","0900371390",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",20.99
"Southbury","0900969640",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.97
"Southington","0900370550",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.53
"Sprague","0901171670",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.43
"Stafford","0901372090",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.39
"Stamford","0900173070",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.34
"Sterling","0901573420",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.2
"Stonington","0901173770",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",37.19
"Stratford","0900174190",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.43
"Suffield","0900374540",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.62
"Thomaston","0900575730",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.21
"Thompson","0901575870",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.03
"Tolland","0901376290",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.18
"Torrington","0900576570",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",13.23
"Trumbull","0900177200",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.48
"Vernon","0901378250",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.76
"Voluntown","0901178600",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.74
"Wallingford","0900978740",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.22
"Warren","0900579510",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.67
"Washington","0900579720",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.25
"Waterbury","0900980070",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",16.59
"Waterford","0901180280",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.07
"Watertown","0900580490",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.62
"West Hartford","0900382590",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.11
"West Haven","0900982870",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",15.67
"Westbrook","0900781680",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.68
"Weston","0900183430",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.98
"Westport","0900183500",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.83
"Wethersfield","0900384900",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.39
"Willington","0901385950",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.27
"Wilton","0900186370",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.46
"Winchester","0900586440",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.26
"Windham","0901586790",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.26
"Windsor","0900387000",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.25
"Windsor Locks","0900387070",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.23
"Wolcott","0900987560",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.12
"Woodbridge","0900987700",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4
"Woodbury","0900587910",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.12
"Woodstock","0901588190",2012,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.29
"Ansonia","0900901220",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.58
"Avon","0900302060",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5
"Beacon Falls","0900903250",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.33
"Berlin","0900304300",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.2
"Bethel","0900104720",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.23
"Bethlehem","0900504930",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.33
"Bloomfield","0900305910",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.1
"Branford","0900907310",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.46
"Bridgeport","0900108070",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",16.69
"Bridgewater","0900508210",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.94
"Bristol","0900308490",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.09
"Brookfield","0900108980",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.53
"Brooklyn","0901509190",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.56
"Burlington","0900310100",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.58
"Canterbury","0901512130",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.8
"Canton","0900312270",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.87
"Cheshire","0900914160",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.45
"Clinton","0900715350",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.65
"Colchester","0901115910",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.43
"Connecticut","09",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9
"Cromwell","0900718080",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.15
"Danbury","0900118500",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.88
"Darien","0900118850",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.08
"Derby","0900919550",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.78
"Durham","0900720810",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.93
"East Haddam","0900722280",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.68
"East Hampton","0900722490",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.69
"East Hartford","0900322630",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",20.28
"East Haven","0900922910",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",13.61
"East Lyme","0901123400",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.62
"East Windsor","0900324800",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.23
"Ellington","0901325360",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.5
"Enfield","0900325990",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.83
"Fairfield","0900126620",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.37
"Farmington","0900327600",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.26
"Glastonbury","0900331240",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.56
"Granby","0900332640",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.06
"Greenwich","0900133620",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.67
"Griswold","0901133900",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.79
"Groton","0901134250",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.33
"Guilford","0900934950",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.12
"Haddam","0900735230",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.38
"Hamden","0900935650",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.85
"Hartford","0900337070",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",18.37
"Harwinton","0900537280",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.58
"Killingly","0901540500",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.15
"Killingworth","0900740710",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.38
"Lebanon","0901142390",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.35
"Ledyard","0901142600",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.6
"Litchfield","0900543370",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.42
"Lyme","0901144210",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.28
"Madison","0900944560",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.96
"Manchester","0900344700",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.32
"Mansfield","0901344910",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.91
"Meriden","0900946520",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",13.76
"Middlebury","0900946940",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.5
"Middlefield","0900747080",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.93
"Middletown","0900747360",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.98
"Milford","0900947535",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.35
"Monroe","0900148620",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.28
"Montville","0901148900",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.22
"Naugatuck","0900949950",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.21
"New Britain","0900350440",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",21.15
"New Canaan","0900150580",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.74
"New Fairfield","0900150860",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.43
"New Haven","0900952070",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.01
"New London","0901152350",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.43
"New Milford","0900552630",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.03
"Newington","0900352140",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.48
"Newtown","0900152980",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.96
"North Branford","0900953890",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.17
"North Canaan","0900554030",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",17.86
"North Haven","0900954870",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.42
"North Stonington","0901155500",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.34
"Norwalk","0900156060",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.45
"Norwich","0901156270",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.24
"Old Lyme","0901157040",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.28
"Old Saybrook","0900757320",2013,"4 through 8",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.32
